case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5
5517,Confirmation of receipt - complete,Value8,2011/1/27 11:11:34,Value2,Value1,Value4,Value7,Value1
5517,T02 Check confirmation of receipt - complete,Value2,2011/1/27 11:50:46,Value2,Value1,Value4,Value7,Value2
5517,T04 Determine confirmation of receipt - complete,Value2,2011/1/27 11:51:00,Value2,Value1,Value4,Value7,Value4
5517,T05 Print and send confirmation of receipt - complete,Value8,2011/2/2 8:28:32,Value2,Value1,Value4,Value7,Value3
5517,T06 Determine necessity of stop advice - complete,Value8,2011/2/2 8:28:50,Value2,Value1,Value4,Value7,Value1
5517,T10 Determine necessity to stop indication - complete,Value8,2011/2/2 8:29:13,Value2,Value1,Value4,Value7,Value1
5517,T16 Report reasons to hold request - complete,Value8,2011/2/2 8:34:01,Value2,Value1,Value4,Value7,Value1
5517,T17 Check report Y to stop indication - complete,Value8,2011/2/2 8:35:14,Value2,Value1,Value4,Value7,Value3
5517,T19 Determine report Y to stop indication - complete,Value8,2011/2/2 8:35:56,Value2,Value1,Value4,Value7,Value4
5517,T20 Print report Y to stop indication - complete,Value8,2011/2/2 8:36:14,Value2,Value1,Value4,Value7,Value5
8457,Confirmation of receipt - complete,Value24,2011/7/27 10:09:37,Value1,Value1,Value2,Value2,Value3
8457,T02 Check confirmation of receipt - complete,Value24,2011/7/27 10:09:55,Value1,Value1,Value2,Value2,Value2
8457,T04 Determine confirmation of receipt - complete,Value24,2011/7/27 10:10:12,Value1,Value1,Value2,Value2,Value4
8457,T05 Print and send confirmation of receipt - complete,Value24,2011/7/27 10:10:29,Value1,Value1,Value2,Value2,Value5
8457,T06 Determine necessity of stop advice - complete,Value24,2011/7/27 10:10:42,Value1,Value1,Value2,Value2,Value1
8457,T10 Determine necessity to stop indication - complete,Value24,2011/7/27 10:11:00,Value1,Value1,Value2,Value2,Value1
7016,Confirmation of receipt - complete,Value14,2011/5/2 12:46:29,Value1,Value1,Value4,Value14,Value3
